Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
"307/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos";SERVICOS;250110;18.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"538/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;6,00000;18.000,0000
"305/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos";SERVICOS;250110;36.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"536/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;12,00000;36.000,0000
"303/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Governança e Gestão de Riscos";SERVICOS;250110;90.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"534/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;30,00000;90.000,0000
"301/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Gestão Pública";SERVICOS;250110;12.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"532/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;4,00000;12.000,0000
"289/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Ética e Combate à Corrupção";SERVICOS;250110;3.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"521/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;1,00000;3.000,0000
"286/2025";Aprovada;;"Contratar vagas em ações de desenvolvimento relacionadas ao Tema Ética e Combate à Corrupção";SERVICOS;250110;15.000,0000;04/07/2025;31/12/2025;180;"SAA.COGEP.CODEP";"518/2024";"Baixo";1;31/12/2025;Serviço;929;OUTROS SERVIÇOS DE EDUCAÇÃO E TREINAMENTO;"";"";21172;"TREINAMENTO QUALIFICAÇÃO PROFISSIONAL";"";3.000,0000;5,00000;15.000,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";1;10/03/2025;Material;7930;Compostos E Preparados Para Limpeza E Polimento;"2166";"Água Sanitária";299605;"composição química: hipoclorito de sódio, hidróxido de sódio, cloreto, cor: incolor, teor cloro ativo: varia de 2 a 2,50%, aplicação: lavagem e alvejante de roupas, banheiras, pias,";"GRF";11,6533;60,00000;699,1980
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";2;10/03/2025;Material;6840;Pesticidas E Desinfetantes;"14487";"Desinfetante";396196;"característica adicional: com aroma, composição: à base de quaternário de amônio, forma física: solução aquosa, princípio ativo: cloreto alquil dimetil benzil amônio +tensioativos, teor ativo: solução concentrada, teor ativo em torno de 50%";"L";6,6400;420,00000;2.788,8000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";3;10/03/2025;Material;7930;Compostos E Preparados Para Limpeza E Polimento;"6136";"Detergente";244300;"aplicação: remoção gordura e sujeira em geral., características adicionais: líquido, composição: detergente industrial, amoniacal, dodecilbenzeno -";"EMB";22,7000;240,00000;5.448,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";4;10/03/2025;Material;7920;Vassouras, Escovas, Rodos, Esponjas E Esfregões;"7042";"Esponja Limpeza";481020;"aplicação: utensílios domésticos, características adicionais: dupla face, formato: retangular, material: espuma / fibra";"UN";1,1220;240,00000;269,2800
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";5;10/03/2025;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;"10344";"PANO LIMPEZA";357462;"CARACTERÍSTICAS ADICIONAIS: CHÃO, COMPRIMENTO: 85, LARGURA: 60, MATERIAL: ALGODÃO CRU, TIPO: SACO";"UN";5,0875;360,00000;1.831,5000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";6;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;"11865";"SABÃO PÓ";332971;"ASPECTO FÍSICO: PÓ, CARACTERÍSTICAS ADICIONAIS: BIODEGRADÁVEL, COMPOSIÇÃO: CARBONATOS,SILICATOS, FOSFATOS,TENSOATIVOS NÃO IÔ-";"CX";6,0000;72,00000;432,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";7;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;"11863";"SABÃO BARRA";311420;"CARACTERÍSTICAS ADICIONAIS: COM PERFUME, COMPOSIÇÃO BÁSICA: SAIS + ÁCIDO GRAXO, TIPO: COM ALVEJANTE, PESO: 200, FORMATO: RETANGULAR";"EMB";9,4160;48,00000;451,9680
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";9;10/03/2025;Material;8105;SACOS E BOLSAS;"11903";"SACO PLÁSTICO LIXO";420496;"ALTURA: 75, CAPACIDADE: 100, COR: PRETA, ESPESSURA: 0,10 MICRA, LARGURA: 105, MATERIAL: POLIETILENO, NORMAS TÉCNICAS: NBR 9190 E 9191";"EMB";29,0950;72,00000;2.094,8400
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";10;10/03/2025;Material;8105;SACOS E BOLSAS;"11903";"SACO PLÁSTICO LIXO";328297;"ALTURA: 70, APLICAÇÃO: COLETA DE LIXO, CAPACIDADE: 60, COR: PRETA, ESPESSURA: 0,008 MICRA, LARGURA: 63";"EMB";20,0000;72,00000;1.440,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";11;10/03/2025;Material;8540;Artigos De Papel Para Higiene;"12792";"Toalha De Papel";481231;"aplicação: higiene pessoal, características adicionais: interfolhada, comprimento: 21,50, cor: branca, largura: 24 a 25, material: papel, tipo folha: 2 dobras";"PCT";6,4100;2.400,00000;15.384,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";12;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;"715";"ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES";481012;"APLICAÇÃO: LIMPEZA, CARACTERÍSTICAS ADICIONAIS: LÍQUIDO, CONCENTRAÇÃO: 70%, TIPO: ETÍLICO";"GL";37,0000;144,00000;5.328,0000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";13;10/03/2025;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;"7042";"ESPONJA LIMPEZA";481018;"APLICAÇÃO: LIMPEZA GERAL, MATERIAL: LÃ AÇO";"EMB";2,2300;240,00000;535,2000
"388/2025";Aprovada;;"Aquisição de material para higiene e limpeza, São Paulo - CASAI SP";BENS;250110;93.402,7860;21/02/2025;10/03/2025;17;"SESAI.CASAI.SP";"56/2025";"Alto";14;10/03/2025;Material;8540;Artigos De Papel Para Higiene;"10383";"Papel Higiênico";352073;"características adicionais: folha simples, gofrado, cor: branca, largura: 10, material: celulose virgem";"PCT";33,7500;1.680,00000;56.700,0000
"142/2025";Aprovada;;"Serviço de impressão";SERVICOS;250110;5.033.064,4000;05/05/2025;31/10/2025;179;"SAPS.DGCI.CGCRIAJ.COSAJ";"148/2024";"Médio";1;31/12/2025;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"";1,4000;1.797.523,00000;2.516.532,2000
"142/2025";Aprovada;;"Serviço de impressão";SERVICOS;250110;5.033.064,4000;05/05/2025;31/10/2025;179;"SAPS.DGCI.CGCRIAJ.COSAJ";"148/2024";"Médio";2;31/12/2025;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;"";"";15857;"GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO";"";1,4000;1.797.523,00000;2.516.532,2000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";1;01/07/2025;Serviço;853;SERVIÇOS DE LIMPEZA;"";"";25194;"SERVIÇO ESPECIALIZADO DE LIMPEZA";"";250.000,0000;1,00000;250.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";2;01/07/2025;Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;"";"";24325;"PRESTAÇÃO DE SERVIÇO DE JARDINAGEM - OUTROS SERVIÇOS - OUTRAPRODUTIVIDADE";"";100.000,0000;1,00000;100.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";3;01/07/2025;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;"";"";1627;"MANUTENÇÃO / REFORMA PREDIAL";"";1.000.000,0000;1,00000;1.000.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";4;01/07/2025;Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;"";"";5380;"PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO";"";500.000,0000;1,00000;500.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";5;01/07/2025;Serviço;546;SERVIÇOS DE INSTALAÇÃO;"";"";3557;"INSTALAÇÃO / MANUTENÇÃO - ELEVADORES, ESCADAS ROLANTES, MON-TA - CARGAS / PLATAFORMA / ESCADAS";"";100.000,0000;1,00000;100.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";6;01/07/2025;Serviço;943;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;"";"";3417;"DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO";"";50.000,0000;1,00000;50.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";7;01/07/2025;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;"";"";2801;"MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO";"";200.000,0000;1,00000;200.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";8;01/07/2025;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;"";"";25550;"SERVIÇOS DE PREVENÇÃO COMBATE INCÊNDIO / BRIGADISTA";"";1.000.000,0000;1,00000;1.000.000,0000
"238/2025";Aprovada;;"Contratação de empresa para a prestação de serviços diversos";SERVICOS;250110;4.940.000,0000;02/01/2025;01/07/2025;180;"SAA.CGDI.DCCMS";"454/2024";"Médio";9;01/07/2025;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;"";"";30136;"PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA PATRIMONIAL";"";300.000,0000;5,00000;1.500.000,0000
