Número da contratação;Status da contratação;Situação da Execução;Título da contratação;Categoria da contratação;UASG Atual;Valor total da contratação;Data estimada para o início do processo de contratação;Data estimada para a conclusão do processo de contratação;Prazo estimado de duração do processo de contratação (dias);Área requisitante;Nº DFD;Prioridade;Nº do Item no DFD;Data da conclusão da Contratação no DFD;Classificação da Contratação;Código Classe/Grupo;Nome Classe/Grupo;Código PDM material;Nome do PDM material;Código material/serviço;Descrição material/serviço;Unidade Fornecimento;Valor Unitário;Quantidade;Valor Total
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;5;10/03/2025;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;10344;PANO LIMPEZA;357462;CARACTERÍSTICAS ADICIONAIS: CHÃO, COMPRIMENTO: 85, LARGURA: 60, MATERIAL: ALGODÃO CRU, TIPO: SACO;UN;5,0875;360;1.831,50
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;6;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;11865;SABÃO PÓ;332971;ASPECTO FÍSICO: PÓ, CARACTERÍSTICAS ADICIONAIS: BIODEGRADÁVEL, COMPOSIÇÃO: CARBONATOS,SILICATOS, FOSFATOS,TENSOATIVOS NÃO IÔ-;CX;6;72;432
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;7;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;11863;SABÃO BARRA;311420;CARACTERÍSTICAS ADICIONAIS: COM PERFUME, COMPOSIÇÃO BÁSICA: SAIS + ÁCIDO GRAXO, TIPO: COM ALVEJANTE, PESO: 200, FORMATO: RETANGULAR;EMB;9,416;48;451,968
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;9;10/03/2025;Material;8105;SACOS E BOLSAS;11903;SACO PLÁSTICO LIXO;420496;ALTURA: 75, CAPACIDADE: 100, COR: PRETA, ESPESSURA: 0,10 MICRA, LARGURA: 105, MATERIAL: POLIETILENO, NORMAS TÉCNICAS: NBR 9190 E 9191;EMB;29,095;72;2.094,84
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;10;10/03/2025;Material;8105;SACOS E BOLSAS;11903;SACO PLÁSTICO LIXO;328297;ALTURA: 70, APLICAÇÃO: COLETA DE LIXO, CAPACIDADE: 60, COR: PRETA, ESPESSURA: 0,008 MICRA, LARGURA: 63;EMB;20;72;1.440,00
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;11;10/03/2025;Material;8540;Artigos De Papel Para Higiene;12792;Toalha De Papel;481231;aplicação: higiene pessoal, características adicionais: interfolhada, comprimento: 21,50, cor: branca, largura: 24 a 25, material: papel, tipo folha: 2 dobras;PCT;6,41;2.400,00;15.384,00
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;12;10/03/2025;Material;7930;COMPOSTOS E PREPARADOS PARA LIMPEZA E POLIMENTO;715;ÁLCOOL ETÍLICO LIMPEZA DE AMBIENTES;481012;APLICAÇÃO: LIMPEZA, CARACTERÍSTICAS ADICIONAIS: LÍQUIDO, CONCENTRAÇÃO: 70%, TIPO: ETÍLICO;GL;37;144;5.328,00
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;13;10/03/2025;Material;7920;VASSOURAS, ESCOVAS, RODOS, ESPONJAS E ESFREGÕES;7042;ESPONJA LIMPEZA;481018;APLICAÇÃO: LIMPEZA GERAL, MATERIAL: LÃ AÇO;EMB;2,23;240;535,2
388/2025;Aprovada;;Aquisição de material para higiene e limpeza, São Paulo - CASAI SP;BENS;250110;93.402,79;21/02/2025;10/03/2025;17;SESAI.CASAI.SP;56/2025;Alto;14;10/03/2025;Material;8540;Artigos De Papel Para Higiene;10383;Papel Higiênico;352073;características adicionais: folha simples, gofrado, cor: branca, largura: 10, material: celulose virgem;PCT;33,75;1.680,00;56.700,00
142/2025;Aprovada;;Serviço de impressão;SERVICOS;250110;5.033.064,40;05/05/2025;31/10/2025;179;SAPS.DGCI.CGCRIAJ.COSAJ;148/2024;Médio;1;31/12/2025;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;;;15857;GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO;;1,4;1.797.523,00;2.516.532,20
142/2025;Aprovada;;Serviço de impressão;SERVICOS;250110;5.033.064,40;05/05/2025;31/10/2025;179;SAPS.DGCI.CGCRIAJ.COSAJ;148/2024;Médio;2;31/12/2025;Serviço;891;SERVIÇOS DE REPRODUÇÃO, PUBLICAÇÃO E IMPRESSÃO;;;15857;GRÁFICO - IMPRESSÃO DE MANUAL E FORMULÁRIO, ALCEAMENTO E EN-VELOPAMENTO;;1,4;1.797.523,00;2.516.532,20
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;1;01/07/2025;Serviço;853;SERVIÇOS DE LIMPEZA;;;25194;SERVIÇO ESPECIALIZADO DE LIMPEZA;;250.000,00;1;250.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;2;01/07/2025;Serviço;851;SERVIÇOS DE AGÊNCIAS DE EMPREGOS E FORNECIMENTO DE PESSOAL;;;24325;PRESTAÇÃO DE SERVIÇO DE JARDINAGEM - OUTROS SERVIÇOS - OUTRAPRODUTIVIDADE;;100.000,00;1;100.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;3;01/07/2025;Serviço;545;TIPOS ESPECIAIS DE SERVIÇOS DE CONSTRUÇÃO;;;1627;MANUTENÇÃO / REFORMA PREDIAL;;1.000.000,00;1;1.000.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;4;01/07/2025;Serviço;911;SERVIÇOS ADMINISTRATIVOS DO GOVERNO;;;5380;PRESTAÇÃO DE SERVIÇOS DE APOIO ADMINISTRATIVO;;500.000,00;1;500.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;5;01/07/2025;Serviço;546;SERVIÇOS DE INSTALAÇÃO;;;3557;INSTALAÇÃO / MANUTENÇÃO - ELEVADORES, ESCADAS ROLANTES, MON-TA - CARGAS / PLATAFORMA / ESCADAS;;100.000,00;1;100.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;6;01/07/2025;Serviço;943;SERVIÇOS DE SANEAMENTO E SERVIÇOS SIMILARES;;;3417;DESINSETIZAÇÃO / DESRATIZAÇÃO / DEDETIZAÇÃO;;50.000,00;1;50.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;7;01/07/2025;Serviço;871;SERVIÇOS DE MANUTENÇÃO E REPARO DE PRODUTOS FABRICADOS DE METAL,MAQUINARIA E EQUIPAMENTOS;;;2801;MANUTENÇÃO DE SISTEMAS DE REFRIGERAÇÃO;;200.000,00;1;200.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;8;01/07/2025;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;;;25550;SERVIÇOS DE PREVENÇÃO COMBATE INCÊNDIO / BRIGADISTA;;1.000.000,00;1;1.000.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;9;01/07/2025;Serviço;852;SERVIÇOS DE INVESTIGAÇÃO E SEGURANÇA;;;30136;PRESTAÇÃO DE SERVIÇO DE VIGILÂNCIA PATRIMONIAL;;300.000,00;5;1.500.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;10;01/07/2025;Serviço;859;OUTROS SERVIÇOS DE SUPORTE;;;14397;PRESTAÇÃO DE SERVIÇOS DE COPEIRAGEM;;45.000,00;1;45.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;11;01/07/2025;Serviço;873;SERVIÇOS DE INSTALAÇÃO(À EXCEÇÃO DA CONSTRUÇÃO);;;22977;INATALAÇÃO/MANUTENÇÃO - CIRCUITO FECHADO TV;;70.000,00;1;70.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;12;01/07/2025;Serviço;831;SERVIÇOS DE CONSULTORIA E DE GERÊNCIA/GESTÃO;;;18686;CONSULTORIA E ASSESSORIA - ADMINISTRAÇÃO NEGÓCIO / PRODUÇÃO;;65.000,00;1;65.000,00
238/2025;Aprovada;;Contratação de empresa para a prestação de serviços diversos;SERVICOS;250110;4.940.000,00;02/01/2025;01/07/2025;180;SAA.CGDI.DCCMS;454/2024;Médio;13;01/07/2025;Serviço;839;OUTROS SERVIÇOS DE NEGÓCIOS, TÉCNICOS E PROFISSIONAIS;;;5436;CHAVEIRO;;60.000,00;1;60.000,00
